,date,time,tweet,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail
21819,2019-08-02,15:51:04,Dublin's Liffey Swim to go ahead despite poor water quality  https://t.co/EjkLGHEQCe,['https://bbc.in/2KfGjmd'],[],15,23,115,[],[],https://twitter.com/BBCWorld/status/1157408499799867393,False,,0,
24543,2019-05-10,18:55:37,How gangs used Vancouver's real estate market to launder $5bn  https://t.co/zMo6SjLoug,['https://bbc.in/2HftxBt'],[],28,159,293,[],[],https://twitter.com/BBCWorld/status/1127014360558260224,False,,0,
233642,2007-06-19,00:20:45,Confectionary and drinks giant Cadbury Schweppes announces plans to cut 15% of its staff by 2011.  http://tinyurl.com/2l52dv,[],[],0,0,0,[],[],https://twitter.com/BBCWorld/status/110810922,False,,0,
580,2021-04-01,14:33:11,Anger as Hollywood stars relocate to Australia during pandemic while many residents remain shut out  https://t.co/2iAHsovWrb,['https://bbc.in/2QTkpe9'],[],108,151,614,[],[],https://twitter.com/BBCWorld/status/1377720721154179075,False,,0,
117298,2012-12-11,10:03:48,Crowds march through #Egypt capital #Cairo for rival rallies ahead of referendum planned for Saturday  http://t.co/D63yducq,['http://bbc.in/TS5kn7'],[],2,17,5,"['egypt', 'cairo']",[],https://twitter.com/BBCWorld/status/278545634011803649,False,,0,
148989,2011-09-01,16:11:00,Terry ready for Jones challenge  http://t.co/bp2X7DQ,['http://bbc.in/qZw0UC'],[],1,5,4,[],[],https://twitter.com/BBCWorld/status/109387808518569984,False,,0,
126018,2012-07-01,03:03:37,Protesters gather at Ohi nuclear plant as Japan prepares to restart first nuclear reactor since Fukushima crisis  http://t.co/L2XXFVPA,['http://bbc.in/LpA88f'],[],11,233,13,[],[],https://twitter.com/BBCWorld/status/219355569872580608,False,,0,
234989,2007-05-17,03:00:57,"It will take up to four years to rebuild northern Uganda after two decades of rebellion, a top UN official says.  http://tinyurl.com/22o6ce",[],[],0,0,0,[],[],https://twitter.com/BBCWorld/status/66721832,False,,0,
225755,2008-01-03,08:20:30,"A car bomb explodes in the Kurdish-dominated city of Diyarbakir in south-eastern Turkey, reports say.  http://tinyurl.com/2c5622",[],[],0,0,0,[],[],https://twitter.com/BBCWorld/status/558637892,False,,0,
11206,2020-06-22,17:08:23,How Asia's biggest slum contained the coronavirus  https://t.co/TYNWoeUd4k,['https://bbc.in/3hVUNXo'],[],33,142,362,[],[],https://twitter.com/BBCWorld/status/1275204011042525185,False,,0,
