,date,time,tweet,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail
272681,2012-10-05,09:40:50,"Actor who plays terrorist on ""Homeland"" mistaken for one at the airport:  http://t.co/za6Qay70",['http://on.cnn.com/T5zkH4'],[],19,307,51,[],[],https://twitter.com/CNN/status/254244766760464384,False,,0,
290360,2008-10-23,12:50:36,Political robocalls flood phone lines  http://tinyurl.com/6otd8t,[],[],0,0,0,[],[],https://twitter.com/CNN/status/972457775,False,,0,
250380,2015-12-28,08:00:04,"Harlem Globetrotter Meadowlark Lemon, famed hoops jester, dies at 83  https://t.co/WAiTihd5aO  https://t.co/xdEPtR4d54",['http://cnn.it/1MDdSEY'],['https://pbs.twimg.com/media/CXUjXOtWQAEJDyK.jpg'],16,341,330,[],[],https://twitter.com/CNN/status/681489800734584832,False,,1,https://pbs.twimg.com/media/CXUjXOtWQAEJDyK.jpg
257221,2015-07-09,04:31:02,Saving lives on the world's biggest floating hospital:  http://t.co/qdovzctG6Y  http://t.co/a4ITeu0p4G,['http://cnn.it/1RlXelJ'],['https://pbs.twimg.com/media/CJdyiFEVEAAZ85y.jpg'],31,462,591,[],[],https://twitter.com/CNN/status/619091383517753344,False,,1,https://pbs.twimg.com/media/CJdyiFEVEAAZ85y.jpg
254841,2015-10-01,20:22:31,Authorities speak about the Oregon community college shooting. Watch @CNNgo:  http://t.co/UYpqI3w42L #UCCShooting,['http://CNN.it/go'],[],12,74,55,['uccshooting'],[],https://twitter.com/CNN/status/649771412165689344,False,,0,
105459,2019-03-01,08:38:38,"Sen. Lindsey Graham joked about the rocky start to his relationship with President Trump, saying in a speech that he and Trump ""did not start off well,"" and that ""we've got a lot in common now: I like him and he likes him""  https://t.co/eJdKpPWFFm  https://t.co/3tDgM5WdmD",['https://cnn.it/2ElUbXT'],['https://pbs.twimg.com/media/D0lW0I_WwAI9Mzq.jpg'],477,50,217,[],[],https://twitter.com/CNN/status/1101507040265031681,False,,1,https://pbs.twimg.com/media/D0lW0I_WwAI9Mzq.jpg
6219,2021-01-30,09:33:12,"After nearly a year in the Covid-19 pandemic, some officials are pushing for a return to in-person instruction for K-12 students.  https://t.co/pajVNv4c7z",['https://cnn.it/3cm1Ecd'],[],73,52,251,[],[],https://twitter.com/CNN/status/1355554666524901376,False,,0,
128896,2018-09-18,19:33:00,"She could be America’s first black female governor. Stacey Abrams admits she is not like what has come before her in the state of Georgia, but she believes it is those differences that will carry her to victory.  https://t.co/TRkdlmMqlr  https://t.co/K0VGyvWO9A",['https://cnn.it/2QBnoU7'],[],28,103,399,[],[],https://twitter.com/CNN/status/1042225009001984000,False,,1,https://pbs.twimg.com/amplify_video_thumb/1042055508973060096/img/D6gCcZqyxspwKaQw.jpg
128388,2018-09-21,20:16:07,"Astronomers have found an exoplanet reminiscent of the planet Vulcan from ""Star Trek,"" orbiting a star in a system only 16 light-years from Earth  https://t.co/bXzaCyJS5Q  https://t.co/DrN0lXxsZQ",['https://cnn.it/2Nu9NzX'],['https://pbs.twimg.com/media/DnqgwsQV4AAeVXw.jpg'],25,95,347,[],[],https://twitter.com/CNN/status/1043323024093732864,False,,1,https://pbs.twimg.com/media/DnqgwsQV4AAeVXw.jpg
187708,2017-07-20,23:16:04,This woman retook her Europe vacation photos in the same spots 30 years later  https://t.co/CLsFmc5MQ3  https://t.co/Wbw1pyWFoa,['http://cnn.it/2ufU76H'],['https://pbs.twimg.com/media/DFPBfkOU0AAJsh-.jpg'],46,159,942,[],[],https://twitter.com/CNN/status/888266302774665216,False,,1,https://pbs.twimg.com/media/DFPBfkOU0AAJsh-.jpg
235755,2016-06-28,15:22:40,@staceyshepard may we have permission to feature your photo? Verify here:  https://t.co/YuIZj6LGcu,['https://enterprise.capture.com/request/f3244fs'],[],1,7,3,[],[],https://twitter.com/CNN/status/747903063395078144,False,,0,
45810,2020-03-12,21:29:11,Former NBA player Charles Barkley says he has been tested for coronavirus and is in his second day of self-quarantine  https://t.co/qKbuL8Ve6a  https://t.co/fBaMXw9Wq3,['https://cnn.it/33fZrbF'],['https://pbs.twimg.com/media/ES9Y0niWoAIKWNz.jpg'],53,160,519,[],[],https://twitter.com/CNN/status/1238306085049700352,False,,1,https://pbs.twimg.com/media/ES9Y0niWoAIKWNz.jpg
227303,2016-09-21,18:19:27,Joss Whedon has assembled the Avengers to get people to vote  https://t.co/yTtAP5N3HX  https://t.co/Q8cKR9bjSE,['http://cnn.it/2cRWSEt'],['https://pbs.twimg.com/media/Cs6teKlWAAEYgzY.jpg'],24,149,293,[],[],https://twitter.com/CNN/status/778750520966148096,False,,1,https://pbs.twimg.com/media/Cs6teKlWAAEYgzY.jpg
216217,2016-12-20,19:51:45,"Former US ambassador on killing in Turkey: ""I think this can escalate""  https://t.co/k75HEppDuU  https://t.co/5ryAcVK8ea",['http://cnn.it/2hauGjp'],[],30,130,143,[],[],https://twitter.com/CNN/status/811403758546616324,False,,1,https://pbs.twimg.com/amplify_video_thumb/811403318534803456/img/UfUFFMY0h57Dqo03.jpg
290954,2008-09-24,02:48:22,'Awakening' leads to soldier's status change  http://tinyurl.com/4k2h6o,[],[],0,0,0,[],[],https://twitter.com/CNN/status/932759095,False,,0,
81679,2019-07-26,18:50:04,"Moving on from Mueller, it's time to debate | Analysis by @LaurenDezenski  https://t.co/xOfnWMxE2W  https://t.co/7sih7j5kUB",['https://cnn.it/2YoFsn8'],['https://pbs.twimg.com/media/EAcWvR8W4AMCjL8.jpg'],31,11,59,[],[],https://twitter.com/CNN/status/1154916833130164225,False,,1,https://pbs.twimg.com/media/EAcWvR8W4AMCjL8.jpg
182331,2017-08-29,04:55:06,"The FDA is cracking down on stem cell clinics, seeking to prevent potentially dangerous and unproven treatments  https://t.co/6tPAMWboxh",['http://cnn.it/2xtEV6Y'],[],14,54,103,[],[],https://twitter.com/CNN/status/902484751252168706,False,,0,
223959,2016-10-19,15:13:01,"Elizabeth Warren has a message for Donald Trump: ""You’re losing because we see through your creepy bullying.""  https://t.co/lj9mpGMN8c  https://t.co/6marE5O6FQ",['http://cnn.it/2e7oqGA'],['https://pbs.twimg.com/media/CvKPUMOXYAAS2uh.jpg'],279,601,1619,[],[],https://twitter.com/CNN/status/788850464783761408,False,,1,https://pbs.twimg.com/media/CvKPUMOXYAAS2uh.jpg
2271,2021-03-16,15:46:05,"For the first time since February 2020, Covid-19 is no longer the No. 1 fear among portfolio managers surveyed by Bank of America.  If anything, experienced investors are now concerned that the economy could recover so rapidly that it overheats.  https://t.co/DnCRtZNjE7",['https://cnn.it/3cD1jQW'],[],30,41,205,[],[],https://twitter.com/CNN/status/1371940863018942469,False,,0,
149922,2018-04-22,23:22:02,Why North Korean leader Kim Jong Un came in from the cold  https://t.co/pHcOyQ7VNY  https://t.co/bxaTC9GQWm,['https://cnn.it/2Hl5eVL'],['https://pbs.twimg.com/media/DbcZqHwU8AAb7U5.jpg'],33,33,130,[],[],https://twitter.com/CNN/status/988286856495353857,False,,1,https://pbs.twimg.com/media/DbcZqHwU8AAb7U5.jpg
137212,2018-07-22,20:30:06,"GOP Sen. Marco Rubio: ""I don't think (the FBI) did anything wrong"" in surveilling Carter Page #CNNSOTU  https://t.co/8ShpGBDYck  https://t.co/voH8rNeoFX","['https://cnn.it/2A2L8w6', 'https://cnn.it/2LfHunO']",[],102,99,405,['cnnsotu'],[],https://twitter.com/CNN/status/1021220881006317569,False,,0,
183985,2017-08-16,20:27:26,"""This is lawlessness"": Attorney General Jeff Sessions criticized the city of Chicago for its sanctuary city policies  https://t.co/A6YxkfGKe1  https://t.co/6PZfSkqcCG",['http://cnn.it/2wh1XQB'],['https://pbs.twimg.com/media/DHZd0rfXsAEfmNS.jpg'],240,70,204,[],[],https://twitter.com/CNN/status/898008338276864001,False,,1,https://pbs.twimg.com/media/DHZd0rfXsAEfmNS.jpg
247351,2016-02-02,05:37:01,"Soon, drone snatching eagles may be helping the Dutch National Police clear skies  https://t.co/u6WyalOLNj  https://t.co/0uFtV5UOGn",['http://cnn.it/1UFXx8K'],['https://pbs.twimg.com/tweet_video_thumb/CaNb2ssWQAEHOVa.png'],28,507,687,[],[],https://twitter.com/CNN/status/694499763220320256,False,,1,https://pbs.twimg.com/tweet_video_thumb/CaNb2ssWQAEHOVa.png
125067,2018-10-16,14:22:05,Cotton farmers say Hurricane Michael stole their crop of a lifetime. It could put them out of business for good.  https://t.co/CqHWgziTxH  https://t.co/IDyqAa8A8D,['https://cnn.it/2yLtnxE'],['https://pbs.twimg.com/media/Dpp_eVkWkAIoxyP.jpg'],49,64,119,[],[],https://twitter.com/CNN/status/1052293623973335040,False,,1,https://pbs.twimg.com/media/Dpp_eVkWkAIoxyP.jpg
4705,2021-02-16,21:21:31,"President Biden reflected on the ""sense of history"" he feels as a new resident of the White House and suggested he has spoken with his predecessors — except for one. #BidenTownHall  https://t.co/5f2Rd6pzMz",['https://cnn.it/3ugqelk'],[],101,118,775,['bidentownhall'],[],https://twitter.com/CNN/status/1361893515328958474,False,,0,
210777,2017-02-01,11:30:01,Sheryl Sandberg is giving $1 million to Planned Parenthood  https://t.co/31pyjnRfNo  https://t.co/e9CXWMs7Vb,['http://cnn.it/2jVKZOn'],['https://pbs.twimg.com/media/C3mY8QzWQAAo0Mr.jpg'],167,829,3664,[],[],https://twitter.com/CNN/status/826860170558971905,False,,1,https://pbs.twimg.com/media/C3mY8QzWQAAo0Mr.jpg
179985,2017-09-15,11:20:24,"Crews removed a 14-foot-tall, 6-ton statue of Confederate General Robert E. Lee from Lee Park in Dallas, Texas  https://t.co/oodBZBRYLo  https://t.co/3y00mVnaRv",['http://cnn.it/2x44dst'],[],332,450,1945,[],[],https://twitter.com/CNN/status/908742307737931777,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/908741968641052672/pu/img/ZsK5jpOSAAYdEFMC.jpg
165703,2018-01-02,18:15:08,Vice Media has put two executives on leave over sexual harassment allegations  https://t.co/Ll6Xt0q1jp  https://t.co/mDOpswI8cb,['http://cnn.it/2A8jmc8'],['https://pbs.twimg.com/media/DSlCQ1nWkAEETv9.jpg'],17,44,127,[],[],https://twitter.com/CNN/status/948362056247496705,False,,1,https://pbs.twimg.com/media/DSlCQ1nWkAEETv9.jpg
227804,2016-09-16,22:01:01,Robert Levinson's family hopes high-level meetings will spur efforts to find him  https://t.co/lBQNfEiPFr  https://t.co/Qs0tIO89v3,['http://cnn.it/2d4ZrkJ'],['https://pbs.twimg.com/media/CshwO6OWIAQymQW.jpg'],22,61,125,[],[],https://twitter.com/CNN/status/776994340006756352,False,,1,https://pbs.twimg.com/media/CshwO6OWIAQymQW.jpg
78992,2019-08-12,14:27:27,"While the Russian Ministry of Defense admitted something went wrong, informed observers immediately raised questions about what, exactly, had been going on at the test range  https://t.co/qEQKtEZ1y7",['https://cnn.it/33wjzFY'],[],26,71,163,[],[],https://twitter.com/CNN/status/1161011336018563074,False,,0,
196563,2017-05-19,12:50:02,Justice Department seeks increase in private prison beds  https://t.co/FBXZmXd5Kx  https://t.co/rS0J0Q1Krp,['http://cnn.it/2q4g2dk'],['https://pbs.twimg.com/media/DANfonGVoAEQz_9.jpg'],311,167,146,[],[],https://twitter.com/CNN/status/865640707087769602,False,,1,https://pbs.twimg.com/media/DANfonGVoAEQz_9.jpg
49220,2020-02-19,08:39:47,"Disney is creating a 16-gown, princess-inspired wedding dress collection  https://t.co/sfv8qaAnEz  https://t.co/4XCtzeb4BR",['https://cnn.it/37FZ9eD'],[],21,83,405,[],[],https://twitter.com/CNN/status/1230155022685659136,False,,1,https://pbs.twimg.com/amplify_video_thumb/1229910399551668225/img/a7CM6p1Kc9fr5CHx.jpg
251016,2015-12-15,21:17:25,".@realdonaldtrump: ""I’m not going to be doing a third party [run]…no matter what""  https://t.co/2cXmVJqD3m #GOPDebate  https://t.co/wqgKBV1iOV","['http://cnn.it/watchlive', 'http://cnn.it/1QrweAn']",[],65,207,322,['gopdebate'],[],https://twitter.com/CNN/status/676979418536001536,False,,0,
75305,2019-09-04,12:20:07,"Technological developments and advances in machine learning have led to successful trials of more sensitive and dexterous robots, which use cameras and artificial intelligence to locate ripe fruit and handle it with care and precision.  https://t.co/lA6TNyq9iV",['https://cnn.it/32Dr25d'],[],48,60,130,[],[],https://twitter.com/CNN/status/1169314210007982080,False,,0,
88876,2019-06-13,19:56:04,"Apple users, get ready for some new features in iOS13:   ▪ Dark mode ▪ Easier access to Wi-Fi and Bluetooth selection ▪ Fewer spam calls ▪ Smart battery charging   https://t.co/OCtftNsyzv",['https://cnn.it/2IekIJI'],[],22,101,307,[],[],https://twitter.com/CNN/status/1139350760485994498,False,,0,
220566,2016-11-16,11:00:06,"We asked American voters how they were feeling after the election. They left us more than 1,500 voicemails  https://t.co/FOTSkSsBOO  https://t.co/47bcxbFZle",['http://cnn.it/2fxu9WJ'],['https://pbs.twimg.com/media/CxZvrQ7XcAAw_x8.jpg'],185,330,621,[],[],https://twitter.com/CNN/status/798948775112933381,False,,1,https://pbs.twimg.com/media/CxZvrQ7XcAAw_x8.jpg
