,date,time,tweet,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail
290581,2009-03-12,17:07:07,"BUSINESS: Market Winners & Losers: Huntington Bancshares, Pall  http://tinyurl.com/bf789w",[],[],0,0,0,[],[],https://twitter.com/FoxNews/status/1318843757,False,,0,
172384,2016-03-26,03:47:04,San Francisco mayor bans city workers from traveling to North Carolina  https://t.co/28Fw6bEFVl  https://t.co/KWP7aaBWng,['http://fxn.ws/1RrKG7E'],['https://pbs.twimg.com/media/CedxN_4WwAAUYWE.jpg'],455,153,159,[],[],https://twitter.com/FoxNews/status/713663553291440128,False,,1,https://pbs.twimg.com/media/CedxN_4WwAAUYWE.jpg
135081,2016-12-20,16:42:39,"@krauthammer on new drilling ban: @potus, as he leaves the @WhiteHouse, he's trying to nail everything to the floor so it can't be moved.  https://t.co/cQVTZQhqG6",[],['https://pbs.twimg.com/media/C0KEDdVUQAAjdCt.jpg'],24,28,62,[],[],https://twitter.com/FoxNews/status/811356170522914816,False,,1,https://pbs.twimg.com/media/C0KEDdVUQAAjdCt.jpg
13718,2018-10-02,14:05:40,.@ShepNewsTeam is live with the ‘Fox News Update’ on Facebook Watch:  https://t.co/Sb2cju6RMf  https://t.co/CffEDcSSiF,['http://bit.ly/2uDwCpw'],['https://pbs.twimg.com/media/Doh0nw7W4AA57GK.jpg'],319,16,60,[],[],https://twitter.com/FoxNews/status/1047216061639270400,False,,1,https://pbs.twimg.com/media/Doh0nw7W4AA57GK.jpg
331435,2008-06-25,10:47:12,NATIONAL: Court Slashes Damages in Exxon Valdez Case  http://tinyurl.com/5kekfz,[],[],0,0,0,[],[],https://twitter.com/FoxNews/status/843419993,False,,0,
117327,2017-04-16,06:40:01,Police arrest at least 20 as protesters clash at pro-Trump rally in Berkeley  https://t.co/j1NIZXXFrc,['http://www.foxnews.com/politics/2017/04/16/police-arrest-at-least-20-as-protesters-clash-at-pro-trump-rally-in-berkeley.html'],[],262,146,595,[],[],https://twitter.com/FoxNews/status/853588791038058496,False,,0,
199091,2015-08-12,20:52:48,.@JessicaTarlov on @HillaryClinton: “She needs to talk to the press more.” #Hannity  http://t.co/bUQ1J1RpOG,[],['https://pbs.twimg.com/media/CMQbGKkWsAATkJT.jpg'],29,7,25,['hannity'],[],https://twitter.com/FoxNews/status/631659640821055489,False,,1,https://pbs.twimg.com/media/CMQbGKkWsAATkJT.jpg
357346,2008-02-05,18:07:07,BUSINESS: Seven Financial 'rules Of Thumb' That Deep Down Make Little Sense  http://tinyurl.com/3533zb,[],[],0,0,0,[],[],https://twitter.com/FoxNews/status/681922802,False,,0,
305295,2008-12-10,10:12:33,BUSINESS: Pending Home Sales Drop 0.7% in October  http://tinyurl.com/62uq69,[],[],0,0,0,[],[],https://twitter.com/FoxNews/status/1049509456,False,,0,
254046,2009-10-23,10:57:09,"BUSINESS: Intel Says Clearwire Info Is Safe. In an interview with The Wall Street Journal, Clearwire...  http://tinyurl.com/yjs69oy",[],[],0,0,0,[],[],https://twitter.com/FoxNews/status/5101319069,False,,0,
49752,2018-04-11,12:34:52,"Syria, Russia prepare for U.S. airstrikes.  https://t.co/VvVO0IcVhw",[],[],137,255,349,[],[],https://twitter.com/FoxNews/status/984137722976710656,False,,1,https://pbs.twimg.com/media/DahcB_SXcAchjQg.jpg
11380,2018-10-14,06:30:00,TODAY: Don't miss White House Economic Adviser @larry_kudlow on @FoxNewsSunday. Check your local listings and tune in at 2p and 7p ET on Fox News Channel!  https://t.co/pcnIAgRow7,[],['https://pbs.twimg.com/media/DpWdtShXgAAiusd.jpg'],19,16,87,[],[],https://twitter.com/FoxNews/status/1051450046602928128,False,,1,https://pbs.twimg.com/media/DpWdtShXgAAiusd.jpg
189247,2015-11-17,12:25:21,"Update: A woman was intoxicated and tried to open the exit door on a British Airways flight, police say.  https://t.co/tZTLSJ2Mhx",['https://amp.twimg.com/v/77499a0e-0b13-49ff-bbff-a4d7318a39b9'],[],51,159,137,[],[],https://twitter.com/FoxNews/status/666698659023613953,False,,0,
251481,2009-11-10,06:12:17,ENTERTAINMENT: Will the Snood Be the Holiday Season's Retail Savior?,[],[],0,0,0,[],[],https://twitter.com/FoxNews/status/5588079806,False,,0,
385223,2007-04-14,14:17:06,POLITICS: Paulson Wants IMF to Step Up Monitoring of Exchange Rates  http://tinyurl.com/25fdop,[],[],0,0,0,[],[],https://twitter.com/FoxNews/status/28181471,False,,0,
137037,2016-12-07,07:13:42,"Marine Corps jet crashes near Japan, search and rescue underway  https://t.co/1Ngcfh6keC",['http://fxn.ws/2gjYDLP'],[],25,155,142,[],[],https://twitter.com/FoxNews/status/806501944772665350,False,,0,
311670,2008-10-31,15:22:15,"SCITECH: Looks Count for Female Candidates, but Not Male Ones  http://tinyurl.com/5svtma",[],[],0,0,0,[],[],https://twitter.com/FoxNews/status/984404613,False,,0,
139121,2016-11-20,15:59:32,".@POTUS: ""When women are more prosperous, then families, communities, and countries are all more prosperous as well.""  https://t.co/Oh8bHgSO0j",[],['https://pbs.twimg.com/media/CxvaCsdVQAAnyc1.jpg'],134,64,149,[],[],https://twitter.com/FoxNews/status/800473680551624705,False,,1,https://pbs.twimg.com/media/CxvaCsdVQAAnyc1.jpg
367337,2007-11-28,08:47:08,WORLD: Saudi Authorities: 8 Men Planed to Attack Oil Installations  http://tinyurl.com/yrly7c,[],[],0,0,0,[],[],https://twitter.com/FoxNews/status/451594812,False,,0,
100412,2017-08-06,14:09:22,"On ""Justice"" last night,"" @JudgeJeanine insisted that @HillaryClinton and @AGLynch must be prosecuted.  https://t.co/mOs8oZ1QMa  https://t.co/2iZnDaJFe5",['http://bit.ly/2hzOIVa'],['https://pbs.twimg.com/media/DGknU5QXUAAOYbv.jpg'],106,120,388,[],[],https://twitter.com/FoxNews/status/894289314028425216,False,,1,https://pbs.twimg.com/media/DGknU5QXUAAOYbv.jpg
237586,2012-06-28,15:21:51,"Despite Obama insisting mandate wasn't a tax, the 'tax' was upheld — making law more unpopular, GOP say  http://t.co/DIorTwLy #Obamacare",['http://fxn.ws/MDDYNM'],[],86,238,23,['obamacare'],[],https://twitter.com/FoxNews/status/218454186059247616,False,,0,
203599,2015-06-16,21:59:04,"BREAKING: Golden State Warriors def. Cleveland Cavaliers in Game 6 to win NBA championship, first since 1975",[],[],13,263,407,[],[],https://twitter.com/FoxNews/status/611020209231544320,False,,0,
352564,2008-03-04,07:32:13,BUSINESS: Treasurys Flat To Higher As Stocks Set For Losses  http://tinyurl.com/2uojdv,[],[],0,0,0,[],[],https://twitter.com/FoxNews/status/766553413,False,,0,
48741,2018-04-15,13:59:37,"Moments ago, @NancyPelosi tweeted her thoughts and prayers to Barbara Bush and her family.  https://t.co/RAbQTdncs1  https://t.co/j8OI4kSDYU",['https://fxn.ws/2HpBNkh'],['https://pbs.twimg.com/media/Da2VtuyWsAAXUPF.jpg'],49,23,195,[],[],https://twitter.com/FoxNews/status/985608604047769601,False,,1,https://pbs.twimg.com/media/Da2VtuyWsAAXUPF.jpg
383669,2007-05-04,06:17:06,"BUSINESS: Microsoft Eyes Yahoo! for Takeover, Paper Says  http://tinyurl.com/ysxf4c",[],[],0,0,0,[],[],https://twitter.com/FoxNews/status/49647952,False,,0,
353389,2008-02-28,00:47:13,"BUSINESS: Whitbread 50 Week Comparable Sales Up 5.8%, Sees FY In Line  http://tinyurl.com/37hn3z",[],[],0,0,0,[],[],https://twitter.com/FoxNews/status/764349494,False,,0,
